subject,content,bestanswer,ans0,ans1,ans2,ans3,ans4,ans5,ans6,ans7,ans8,ans9 
b'Why do people blush when they are embarrassed?',b'Why do people blush when they are embarrassed?',"b'from ask yahoo...<br />\n<br />\nhttp://ask.yahoo.com/ask/20040113.html<br />\n<br />\n<<Blushing is a unique blend of evolutionary and social behavior. It\'s an involuntary reaction of the sympathetic nervous system, which is responsible for our ""fight or flight"" response, but blushing is solely triggered by social cues. <br />\nPeople generally blush when they\'re feeling embarrassed, scared, or stressed. As a result of the ""fight or flight"" response, the capillaries that carry blood to the skin widen, and the increased blood flow lends the face, as well as sometimes the chest, neck, or even the body or legs, a reddened color. <br />\n<br />\nExcessive facial blushing, or erythrophobia, is caused by overactivity of the sympathetic nervous system. The condition can cause a lot of psychological duress and has engendered several support groups. <br />\n<br />\nIt\'s common knowledge that animals don\'t blush. So while there are some evolutionary cues behind blushing, it\'s also linked to something uniquely human -- moral consciousness.>>'","b'from ask yahoo...<br />\n<br />\nhttp://ask.yahoo.com/ask/20040113.html<br />\n<br />\n<<Blushing is a unique blend of evolutionary and social behavior. It\'s an involuntary reaction of the sympathetic nervous system, which is responsible for our ""fight or flight"" response, but blushing is solely triggered by social cues. <br />\nPeople generally blush when they\'re feeling embarrassed, scared, or stressed. As a result of the ""fight or flight"" response, the capillaries that carry blood to the skin widen, and the increased blood flow lends the face, as well as sometimes the chest, neck, or even the body or legs, a reddened color. <br />\n<br />\nExcessive facial blushing, or erythrophobia, is caused by overactivity of the sympathetic nervous system. The condition can cause a lot of psychological duress and has engendered several support groups. <br />\n<br />\nIt\'s common knowledge that animals don\'t blush. So while there are some evolutionary cues behind blushing, it\'s also linked to something uniquely human -- moral consciousness.>>'",None,None,None,None,None,None,None,None,None
b'what is the better way to grill outdoors: gas or charcoal?',b'recently in the market for a bbq.  curious as to the pros and cons of using gas vs charcoal.',"b""I say Charcoal ! ,but here are the pros and cons for charcoal and gas grills<br />\n<br />\nCharcoal Pros<br />\n<br />\nFood tastes better. That smoked flavor is impossible to duplicate with gas even if you buy the smoke products. <br />\n<br />\nCharcoal grills are less expensive.  A quality charcoal grill runs between $50 and $100. <br />\n<br />\nIt's easy to find portable charcoal grills to take on trips.<br />\n<br />\nCooking over charcoal becomes an event. If family members get hooked on cooking over charcoal, they will enjoy playing around with different techniques. <br />\n<br />\nCharcoal Cons<br />\n<br />\nStarting a fire can be a problem especially on damp or rainy days. It does help to keep the charcoal good and dry and an electric firestarter can also be used.<br />\n<br />\nIt's easy to burn food over charcoal. The heat is regulated with vents, and the cook must know how to use the vents and lid to keep the fire from flaring or burning too hot. <br />\n<br />\nCoals must cool before the grill can be cleaned. This can take several hours.<br />\n<br />\nA charcoal grill is messy. Grease, charcoal and ashes are not the easiest things to clean up.<br />\n<br />\nGas Pros<br />\n<br />\nStarting a gas grill is as easy as turning on the gas and pushing a button. Do be careful and follow directions.<br />\n<br />\nFlames and temperatures can be fine tuned with the settings on a gas grill. If you have recipes that call for temperature settings and times, then gas is super simple.<br />\n<br />\nMost gas grills have two sides with separate controls, so it's easy to cook two different things at once even if they require different amounts of heat. <br />\n<br />\nClean up is really easy.<br />\n<br />\nGas Cons<br />\n<br />\nFood cooked on a gas grill does not have charcoal flavor no matter what you do.<br />\n<br />\nGas grills cost more. Expect to pay at least $100 for a good gas grill. Some run in the thousands.<br />\n<br />\nMost gas grills are large and are hard to take on trips.<br />\n<br />\nIf you run out of gas, you're out of luck""","b""I say Charcoal ! ,but here are the pros and cons for charcoal and gas grills<br />\n<br />\nCharcoal Pros<br />\n<br />\nFood tastes better. That smoked flavor is impossible to duplicate with gas even if you buy the smoke products. <br />\n<br />\nCharcoal grills are less expensive.  A quality charcoal grill runs between $50 and $100. <br />\n<br />\nIt's easy to find portable charcoal grills to take on trips.<br />\n<br />\nCooking over charcoal becomes an event. If family members get hooked on cooking over charcoal, they will enjoy playing around with different techniques. <br />\n<br />\nCharcoal Cons<br />\n<br />\nStarting a fire can be a problem especially on damp or rainy days. It does help to keep the charcoal good and dry and an electric firestarter can also be used.<br />\n<br />\nIt's easy to burn food over charcoal. The heat is regulated with vents, and the cook must know how to use the vents and lid to keep the fire from flaring or burning too hot. <br />\n<br />\nCoals must cool before the grill can be cleaned. This can take several hours.<br />\n<br />\nA charcoal grill is messy. Grease, charcoal and ashes are not the easiest things to clean up.<br />\n<br />\nGas Pros<br />\n<br />\nStarting a gas grill is as easy as turning on the gas and pushing a button. Do be careful and follow directions.<br />\n<br />\nFlames and temperatures can be fine tuned with the settings on a gas grill. If you have recipes that call for temperature settings and times, then gas is super simple.<br />\n<br />\nMost gas grills have two sides with separate controls, so it's easy to cook two different things at once even if they require different amounts of heat. <br />\n<br />\nClean up is really easy.<br />\n<br />\nGas Cons<br />\n<br />\nFood cooked on a gas grill does not have charcoal flavor no matter what you do.<br />\n<br />\nGas grills cost more. Expect to pay at least $100 for a good gas grill. Some run in the thousands.<br />\n<br />\nMost gas grills are large and are hard to take on trips.<br />\n<br />\nIf you run out of gas, you're out of luck""","b""Gas if you value convenience, since <br />\n1. gas heats up quicker (5 min vs. 20 min), <br />\n2. its easier to clean, <br />\n3. don't need to constantly watch if its getting too hot<br />\n4. can use it rain or shine<br />\n<br />\nCharcoal if you have childhood memories of barbeque tasting like -- well charcoal. Its Old School, and its also cheaper.<br />\n<br />\nFor a good introductory portable gas grill, Weber Q is a good one for a small gathering.""","b""gas is a lot more convenient. there is a lot of hassle involved in getting a charcoal bbq. <br />\nsome say the taste is better with charcoal although my personal opinion is that the taste of burnt grease from the bbq itself dominates everything and is what gives bbq meat it's flavor...<br />\n<br />\n<br />\nsome more info added under the link""","b'If you want to ""grill"" which is steak or fish with an open hood I think Gas works out well. If you want to ""barbecue"" which is using the smoke t flavor and slow cooking to do ribs, brisket etc then you cannot really do that with gas. I have a nice gas grill but have been tempted to get a charcoal smoker out in my yard as well for ribs. Barbecues galore has a special right now: http://www.bbqgalore.com/store/item.bbq?invky=7617303<br />\nCiemo on the YST team is the barbecue expert to talk to though.<br />\nThe Thrill of the Grill: Techniques, Recipes, & Down-Home Barbecue <br />\nby Chris Schlesinger is the key book to have. He is very charcoal biased though.'",None,None,None,None,None,None
b'What is happiness?',b'What is happiness?',b'there is a good wikipedia article on this.',b'there is a good wikipedia article on this.',None,None,None,None,None,None,None,None,None
b'Can boys and girls be just friends?',b'Can boys and girls be just friends and never lovers?\r<br><br>Please no answer from - When Harry Met Sally.\r<br><br>Any studies by Kinsey?  I think he failed this test by the way.....',"b'Boys don\'t think so. Girls do. Hmmm. I\'ve seen this in a movie. But I don\'t think they are mutually exclusive. Boys can fantasize about being lovers with a girl, and girls can believe that boys ""just want to be friends"" with them.  Denial works pretty well to keep a friendship together.'","b'Boys don\'t think so. Girls do. Hmmm. I\'ve seen this in a movie. But I don\'t think they are mutually exclusive. Boys can fantasize about being lovers with a girl, and girls can believe that boys ""just want to be friends"" with them.  Denial works pretty well to keep a friendship together.'","b""I think that it is all depends if both of them are involved in another relationship. If they are then the answer is yes. If they aren't the somewhere along the way problems will rise. So yes, I think that Nora Ephron right was right on the money with that script""","b""Absolutely.  It's just a matter of each person's personality - so it doesn't work every time but it can happen.""",None,None,None,None,None,None,None
"b'Is Lin Qingxia (aka Brigitte Lin) ""the most beautiful woman in Chinese cinema?""'",b'This is according to Stephen Chow (http://www.hkentreview.com/2005/features/kfh/kfhprem.html). Is it true? Who is the best-looking male star? Did they make any movies together?',"b'Well.  Everyone has different definition on what \'beauty\' is.  I like Lin Qingxia, but I think many girls are prettier than she was. (She is more than 40 years old now). <br />\n<br />\nIf ""Lin Qingxia"" is the most beautiful woman in the Chinese cinema, the most handsome man in Chinese cinema should be ""Chin Han"" because they always made movies together.<br />\n<br />\nHowever, A male movie star once was asked his girlfriend in real life or the girlfriend in movie is more beautiful.  He gave a very good answer: ""I think my mother is the most beautiful woman in the world.""  :)'","b'Well.  Everyone has different definition on what \'beauty\' is.  I like Lin Qingxia, but I think many girls are prettier than she was. (She is more than 40 years old now). <br />\n<br />\nIf ""Lin Qingxia"" is the most beautiful woman in the Chinese cinema, the most handsome man in Chinese cinema should be ""Chin Han"" because they always made movies together.<br />\n<br />\nHowever, A male movie star once was asked his girlfriend in real life or the girlfriend in movie is more beautiful.  He gave a very good answer: ""I think my mother is the most beautiful woman in the world.""  :)'",None,None,None,None,None,None,None,None,None
"b'What is the origin of ""foobar""?'",b'I want to know the meaning of the word and how to explain to my friends.',"b'Not sure if this is the origin, but I think it was popularized in the 1989 film ""Tango & Cash"". After Tango, played by Sylvester Stallone, and Cash, portrayed by Kurt Russell, were thrown into jail and setup in a failed jailbreak attempt, the bad guy Yves Perret (Jack Pallance) locked them in the boiler room with a bunch of felons Tango & Cash had put in jail. Prior to unleashing a can of whoop-ass, their conversation was as follows:<br />\n<br />\nGabriel Cash: I don\'t know about you, but I have an aversion to getting F.U.B.A.R...<br />\n<br />\nRay Tango: What\'s F.U.B.A.R.?<br />\n<br />\nGabriel Cash: Fucked-Up Beyond All Recognition.'","b'Not sure if this is the origin, but I think it was popularized in the 1989 film ""Tango & Cash"". After Tango, played by Sylvester Stallone, and Cash, portrayed by Kurt Russell, were thrown into jail and setup in a failed jailbreak attempt, the bad guy Yves Perret (Jack Pallance) locked them in the boiler room with a bunch of felons Tango & Cash had put in jail. Prior to unleashing a can of whoop-ass, their conversation was as follows:<br />\n<br />\nGabriel Cash: I don\'t know about you, but I have an aversion to getting F.U.B.A.R...<br />\n<br />\nRay Tango: What\'s F.U.B.A.R.?<br />\n<br />\nGabriel Cash: Fucked-Up Beyond All Recognition.'","b'You can see RFC 3092 to see the etymology of ""foobar"" in the computer science sense. An excerpt:<br />\n<br />\nfoobar n.<br />\n<br />\n[JARGON] A widely used metasyntactic variable; see foo for etymology. Probably originally propagated through DECsystem manuals by Digital Equipment Corporation (DEC) in 1960s and early 1970s; confirmed sightings there go back to 1972. Hackers do not generally use this to mean FUBAR in either the slang or jargon sense. It has been plausibly suggested that ""foobar"" spread among early computer engineers partly because of FUBAR and partly because ""foo bar"" parses in electronics techspeak as an inverted foo signal.'",None,None,None,None,None,None,None,None
b'How the human species evolved?',b'How the human species evolved?',"b'A tough question as it overlaps science and theology. Since you asked ""how the human species evolved?"" I\'ll assume you\'re interested in the scientific approach to the answer.<br />\n<br />\nThe current theory holds that Homo sapiens evolved from Hominid ancestors over the course of millions of years through a process called natural selection. Natural selection is the weeding and advancement of species variants over time based on the fit in that species\' then current environments. The pressures for ""fit"" are competitive (with each other, with other tribes, and with other animals) and environmental (weather, terrain, availability of food, etc.). These factors all contributed to the development of our higher brain, which we now use to evolve as a global collective through communication & technology.'","b'A tough question as it overlaps science and theology. Since you asked ""how the human species evolved?"" I\'ll assume you\'re interested in the scientific approach to the answer.<br />\n<br />\nThe current theory holds that Homo sapiens evolved from Hominid ancestors over the course of millions of years through a process called natural selection. Natural selection is the weeding and advancement of species variants over time based on the fit in that species\' then current environments. The pressures for ""fit"" are competitive (with each other, with other tribes, and with other animals) and environmental (weather, terrain, availability of food, etc.). These factors all contributed to the development of our higher brain, which we now use to evolve as a global collective through communication & technology.'","b""Here's a small, quick answer to your big question, from http://www.onelife.com/evolve/manev.html:<br />\n<br />\nSPECIES/TIME PERIOD IN YEARS AGO<br />\nArdipithicus ramidus/5 to 4 million years ago<br />\nAustralopithecus anamensis/4.2 to 3.9 million <br />\nAustralopithecus afarensis/4 to 2.7 million <br />\nAustralopithecus africanus/3 to 2 million <br />\nAustralopithecus robustus/2.2 to 1.6 million <br />\nHomo habilis/2.2 to 1.6 million <br />\nHomo erectus/2.0 to 0.4 million <br />\nHomo sapiens archaic/400 to 200 thousand <br />\nHomo sapiens neandertalensis/200 to 30 thousand <br />\nHomo sapiens sapiens/200 thousand <br />\n<br />\nBecause this is such a big question, I will suggest what I find to be an excellent resource so you can find the information you are seeking. I think it's excellent because it answers this large question fairly concisely, and also defines tangential issues, such as how natural selection works. It's the site referenced above, http://www.onelife.com/evolve/manev.html""",None,None,None,None,None,None,None,None
b'What makes friendship click?',b'How does the spark keep going?',"b""good communication is what does it.  Can you move beyond small talk and say what's really on your mind.  If you start doing this, my expereince is that potentially good friends will respond or shun you.  Then you know who the really good friends are.""","b""good communication is what does it.  Can you move beyond small talk and say what's really on your mind.  If you start doing this, my expereince is that potentially good friends will respond or shun you.  Then you know who the really good friends are.""",None,None,None,None,None,None,None,None,None
b'Who said the statement below and what does it mean?',"b'Can someone help me with understanding someone else\'s wisdom, please?\r<br><br>"" It is very easy in the world to live by the opinion of the world. It is very easy in solitude to be self-centered. But the finished man is he who in the midst of the crowd keeps with perfect sweetness the independence of solitude. ""'","b'That is kind of a tricky little quote. Sometimes placing it in context can help. This is a quote from Ralph Waldo Emerson\'s essay ""Self Reliance,"" which discourages basing one\'s opinions and actions on common opinion in favor of self-trust (see the full essay at http://www.emersoncentral.com/selfreliance.htm). <br />\n<br />\nI think the point of this quote is that it\'s very desireable to have one\'s own original thoughts and opinions, and to live by them.  It\'s easier to live by one\'s own convictions and not be persuaded by others when in isolation (that\'s the ""independence of solitude""). However, not so special to isolate oneself from others in order to attain this ideal. Because it\'s difficult to live by one\'s own thoughts and opinions while being a part of society, it\'s something only a ""finished man"" can truly do. Also, in the essay, Emerson refers to being childlike - unselfish, non-judgmental, open-minded, uncynical, unhesitant - as something to admire. So I think that\'s where the seemingly misplaced ""perfect sweetness"" comes in. When a man can remain pure of heart while living in the harsh world and also keeping and living by his own ideals. <br />\n<br />\nWhat do you think?'","b'That is kind of a tricky little quote. Sometimes placing it in context can help. This is a quote from Ralph Waldo Emerson\'s essay ""Self Reliance,"" which discourages basing one\'s opinions and actions on common opinion in favor of self-trust (see the full essay at http://www.emersoncentral.com/selfreliance.htm). <br />\n<br />\nI think the point of this quote is that it\'s very desireable to have one\'s own original thoughts and opinions, and to live by them.  It\'s easier to live by one\'s own convictions and not be persuaded by others when in isolation (that\'s the ""independence of solitude""). However, not so special to isolate oneself from others in order to attain this ideal. Because it\'s difficult to live by one\'s own thoughts and opinions while being a part of society, it\'s something only a ""finished man"" can truly do. Also, in the essay, Emerson refers to being childlike - unselfish, non-judgmental, open-minded, uncynical, unhesitant - as something to admire. So I think that\'s where the seemingly misplaced ""perfect sweetness"" comes in. When a man can remain pure of heart while living in the harsh world and also keeping and living by his own ideals. <br />\n<br />\nWhat do you think?'",None,None,None,None,None,None,None,None,None
b'How do I find an out of print book?',"b'When I was a kid I remember seeing a book that was like an yearbook of all newspapers published by the Times during WW II. Each of the years is compiled into a different book. \r<br>It gave one a very uniqie perspecitev into the UK druing the war, and even had advertisements from thaat time.\r<br>Anybody out there know how to track such books?'",b'There are several websites that you can find rare or out of print books.  A couple would be alibris.com or abebooks.com.  These sites list books by booksellers all over the country and some internationally.',b'There are several websites that you can find rare or out of print books.  A couple would be alibris.com or abebooks.com.  These sites list books by booksellers all over the country and some internationally.',b'Bookfinder does a metasearch across various online used book stores',None,None,None,None,None,None,None,None
b'What are some tips on finding a good mortgage broker?',b'What are some tips on finding a good mortgage broker?',"b'the most basic thing is to have someone you have a decent amount of trust for. someone recommended by a friend etc.<br />\n<br />\nthe things you have to look for are:<br />\n1. top priority is seeing that the broker can actually get your loan on time. many deals fall through b/c the broker cannot get the deal through on time and has less control than the original lender<br />\n2. secondary priority is to see that they have access to competitive rates. not all brokers have access to all sources and rates, although most of them will be similar.<br />\n3. you need to see that the broker is someone you trust to get you the best rate regardless of how much money they make off the transaction.'","b'the most basic thing is to have someone you have a decent amount of trust for. someone recommended by a friend etc.<br />\n<br />\nthe things you have to look for are:<br />\n1. top priority is seeing that the broker can actually get your loan on time. many deals fall through b/c the broker cannot get the deal through on time and has less control than the original lender<br />\n2. secondary priority is to see that they have access to competitive rates. not all brokers have access to all sources and rates, although most of them will be similar.<br />\n3. you need to see that the broker is someone you trust to get you the best rate regardless of how much money they make off the transaction.'","b""Three most common ways to find a broker are A)referrals from friends or family, B) referrals from your realtor and C) through comparison shopping online.<br />\n<br />\nIf this is your first time buying a house, you want someone who is knowledgeable and patient. He/she should help you analyze your financial situation, explain to you differences between different mortgage options, and guide you through the entire process. <br />\n<br />\nThe broker should also be able to find you competitve rates. When comparing rates, you should take into consideration the points the broker take for himself/herself, not just the rate the bank is charging you.<br />\n<br />\nWhenever possible, ask the broker for references. If someone is confident about his/her work, he/she should provide them.<br />\n<br />\nDo your homework by comparing rates online first. That usually gives you a sense of what the range of mortgages you'll get. <br />\n<br />\nBe careful about some of the online offerings though. Since you don't know the brokers or have local access to them, they can be slow to respond. If you're shooting for a tight timeline, shop for a backup broker.<br />\n<br />\nHere are a couple good sites to start:<br />\n<br />\nhttp://www.bankrate.com<br />\nhttp://www.homegain.com""",None,None,None,None,None,None,None,None
b'Flapjacks problem',b'what is the best way to eat a pancake?',b'well that is very simple - pick a fruit that you want to that they will put in the blend<br />\nput a lot of syrup on it and EAT!',b'well that is very simple - pick a fruit that you want to that they will put in the blend<br />\nput a lot of syrup on it and EAT!',"b'Pigs in a blanket for me - roll your pancake around bacon or sausage, smother with syrup and gorge yourself until the food coma kicks in.'",None,None,None,None,None,None,None,None
"b""what's the best way to create a bootable windos/dos CD?""","b""i don't use floppies any more and need to boot from something other than my hard disk""","b""Well, the best way is to look at whatever program you have for burning CDs and see if it has an option to create a bootable CD.  If you can't find it, or use Windows itself to burn CDs, then it's a little more complicated.<br />\n<br />\nNote: If you find that booting from CD doesn't work, you may have to adjust your BIOS setting to allow your machine to boot from CD.<br />\n<br />\nIf you want to boot to windows: the easiest way is probably to go here: http://www.nu2.nu/bootcd/ and download a utility that will do it for you.  There are instructions there depending on what type of boot you want.<br />\n<br />\nIf you don't trust using a third party utility, Microsoft has some instructions here: http://support.microsoft.com/kb/167685/EN-US/ .  This process is not very straightforward though.<br />\n<br />\nIf you just need to get into your filesystem and poke around, you might consider booting a different OS.  For example, http://www.freedos.org/ (FreeDOS) and http://www.knoppix.net/ (Knoppix Linux) may do what you want.  For these, you can download ISO images and burn bootable CDs.""","b""Well, the best way is to look at whatever program you have for burning CDs and see if it has an option to create a bootable CD.  If you can't find it, or use Windows itself to burn CDs, then it's a little more complicated.<br />\n<br />\nNote: If you find that booting from CD doesn't work, you may have to adjust your BIOS setting to allow your machine to boot from CD.<br />\n<br />\nIf you want to boot to windows: the easiest way is probably to go here: http://www.nu2.nu/bootcd/ and download a utility that will do it for you.  There are instructions there depending on what type of boot you want.<br />\n<br />\nIf you don't trust using a third party utility, Microsoft has some instructions here: http://support.microsoft.com/kb/167685/EN-US/ .  This process is not very straightforward though.<br />\n<br />\nIf you just need to get into your filesystem and poke around, you might consider booting a different OS.  For example, http://www.freedos.org/ (FreeDOS) and http://www.knoppix.net/ (Knoppix Linux) may do what you want.  For these, you can download ISO images and burn bootable CDs.""",None,None,None,None,None,None,None,None,None
b'what is the reason for the increasing divorce percentage in the western world?',b'what is the most common parameter that causing couples to separate',"b""IMO... our lives are much more complex than our equivalents from 50 years ago and thus it's more likely for married people to grow in different directions over time (values, needs, etc.). Add to that how easy and acceptable it is to get a divorce, and how quick we are to dispose of things that we no longer want, and you get an increasing percentage.<br />\n<br />\nI wouldn't be surprised if in the not too distant future the average length of a marriage drops to ~5 years and the average number of marriages per person increases to 2+.<br />\n<br />\nA parallel to consider: how many different circles of friends do you have and how often have you joined new ones and left others behind over your life? (grade school, high school, college, jobs, etc.). We are a nomadic species. :)""","b""IMO... our lives are much more complex than our equivalents from 50 years ago and thus it's more likely for married people to grow in different directions over time (values, needs, etc.). Add to that how easy and acceptable it is to get a divorce, and how quick we are to dispose of things that we no longer want, and you get an increasing percentage.<br />\n<br />\nI wouldn't be surprised if in the not too distant future the average length of a marriage drops to ~5 years and the average number of marriages per person increases to 2+.<br />\n<br />\nA parallel to consider: how many different circles of friends do you have and how often have you joined new ones and left others behind over your life? (grade school, high school, college, jobs, etc.). We are a nomadic species. :)""",b'Misinterpreted personal freedom at a young age.',None,None,None,None,None,None,None,None
"b'What is an ""imaginary number""?'","b'What is an ""imaginary number"", and how is it treated in algebra equations?'","b""Imaginary numbers are numbers than when squared equal a negative number, as in i^2 = -1, where i is the imaginary number. You'll also often see them represented as i = \xe2\x88\x9a-1 (that's the square root of -1).<br />\n<br />\nDon't be confused by the poorly chosen name - imaginary numbers do indeed exist and are used in advanced math, such as in the physics of electromagnetic fields. The analogy that Wikipedia uses is a good one - just like you don't need the concept of fractions to count stones, it doesn't mean that fractions don't exist. :)""","b""Imaginary numbers are numbers than when squared equal a negative number, as in i^2 = -1, where i is the imaginary number. You'll also often see them represented as i = \xe2\x88\x9a-1 (that's the square root of -1).<br />\n<br />\nDon't be confused by the poorly chosen name - imaginary numbers do indeed exist and are used in advanced math, such as in the physics of electromagnetic fields. The analogy that Wikipedia uses is a good one - just like you don't need the concept of fractions to count stones, it doesn't mean that fractions don't exist. :)""",None,None,None,None,None,None,None,None,None
b'Treatments for Gout?',b'My father has gout. What are the best treatments for it?',b'there is no cure for gout but it can be treated and contained.<br />\n<br />\nhere are some good references',b'there is no cure for gout but it can be treated and contained.<br />\n<br />\nhere are some good references',None,None,None,None,None,None,None,None,None
b'Wineries in the Paso Robles area?',"b""I'll be spending the weekend in the Paso Robles area and will have time to visit 3 or 4 wineries.  Can anyone recommend which ones to visit for the best wine? or the best ambiance?\r<br><br>Thanks.""","b""Meridian winery is in Paso Robles and it has a good tasting room and the views overlooking the the vineyards are beautiful. A smaller winery which is fun is Bonny Doon.<br />\n<br />\nWhat's unique to the Paso Robles area are a lot of Mom and Pop wineries which you don't see much of anymore in Napa or Sonoma.<br />\n<br />\nNow is right before harvest time so you can enjoy the vineyards fully loaded with grapes.<br />\n<br />\nEnjoy""","b""Meridian winery is in Paso Robles and it has a good tasting room and the views overlooking the the vineyards are beautiful. A smaller winery which is fun is Bonny Doon.<br />\n<br />\nWhat's unique to the Paso Robles area are a lot of Mom and Pop wineries which you don't see much of anymore in Napa or Sonoma.<br />\n<br />\nNow is right before harvest time so you can enjoy the vineyards fully loaded with grapes.<br />\n<br />\nEnjoy""",None,None,None,None,None,None,None,None,None
b'what are the benefits of using a CF card reader vs. transferring using a digital camera',b'I know that the transfer rate is playing a major factor here',"b""Many cameras use the older USB 1.1 standard for transferring data, which is slow.  USB 1.1 can run in two modes (Low speed 1.5 Mbits/sec and Full speed 12.0 Mbits/sec).  Your actual speed will be lower than theoretical maximum.  USB 2.0 the newer standard supports 480 Mbits/sec. maximum.  FireWire and PCMCIA are even faster.<br />\n<br />\nWith an external reader, you are not limited by what you camera supports, but by what your PC supports, so you can get higher speed interfaces such as PCMCIA, FireWire or USB 2.0, even if your camera doesn't support it.  I've found USB 2.0 to provide acceptable (not blazing, but reasonable) performance, even with high-res 8MP images.""","b""Many cameras use the older USB 1.1 standard for transferring data, which is slow.  USB 1.1 can run in two modes (Low speed 1.5 Mbits/sec and Full speed 12.0 Mbits/sec).  Your actual speed will be lower than theoretical maximum.  USB 2.0 the newer standard supports 480 Mbits/sec. maximum.  FireWire and PCMCIA are even faster.<br />\n<br />\nWith an external reader, you are not limited by what you camera supports, but by what your PC supports, so you can get higher speed interfaces such as PCMCIA, FireWire or USB 2.0, even if your camera doesn't support it.  I've found USB 2.0 to provide acceptable (not blazing, but reasonable) performance, even with high-res 8MP images.""",None,None,None,None,None,None,None,None,None
"b""What's the least expensive way to make a movie using local talent?""","b'This is in and around the bay area.\r<br>Wondering where we could tap into key technicians in making a movie like cameraperson, film editor, etc.'","b'I would try some of the local schools like the Academy of Arts College (http://www.academyart.edu/) to see if you find someone willing to work for cheap in exchange for some resume-building experience. There seems to be a lot of posting on Craigslist (http://craigslist.org) for various technicians as well so that may be another option. If you have friends or contacts with people who work at some of the local movie companies (Lucasfilm or Pixar), I know there are usually aspiring filmmakers doing side projects. I believe ILM has an internal mailing list for talent, both on camera and off. I played an extra in an Indie film by a former ILM employee. My friend who works there forwarded me the internal call for extras. Finally, if you can tap into local theatre and/or acting groups, you may find contacts with technicians.'","b'I would try some of the local schools like the Academy of Arts College (http://www.academyart.edu/) to see if you find someone willing to work for cheap in exchange for some resume-building experience. There seems to be a lot of posting on Craigslist (http://craigslist.org) for various technicians as well so that may be another option. If you have friends or contacts with people who work at some of the local movie companies (Lucasfilm or Pixar), I know there are usually aspiring filmmakers doing side projects. I believe ILM has an internal mailing list for talent, both on camera and off. I played an extra in an Indie film by a former ILM employee. My friend who works there forwarded me the internal call for extras. Finally, if you can tap into local theatre and/or acting groups, you may find contacts with technicians.'",None,None,None,None,None,None,None,None,None
b'Faxing a pizza',b'would we be able to fax a pizza in the future? How far are we from creating a machine that can beam people from one place to another?',"b""We're pretty far away from being able to beam anything in the way that you are describing.  There are some experiments where splitting entangled electrons allows us to observe some interesting 'action at a distance' effects, but the amount of data that would need to be stored to transmit something with as many atoms as a pizza is incredible.  Also, such an operation would require nano-assemblers that could interpret such data an reassemble the pizza from the info provided.""","b""We're pretty far away from being able to beam anything in the way that you are describing.  There are some experiments where splitting entangled electrons allows us to observe some interesting 'action at a distance' effects, but the amount of data that would need to be stored to transmit something with as many atoms as a pizza is incredible.  Also, such an operation would require nano-assemblers that could interpret such data an reassemble the pizza from the info provided.""",None,None,None,None,None,None,None,None,None
b'can i repair/seal a crack in a toilet tank?',"b""i had to replace the flush valve in a toilet, when reattaching the tank to the bowl, i tightened the bolts too much and there's a hairline crack that's slowly leaking water. i tried a silicone sealant on the inside of the tank and around the bolts.""","b""A silicone sealant should work fine as long as you make sure the porcelain around the crack is dry and clean of loose debris when you put it on, and you give it at least 24 hours to dry before it gets wet again.<br />\n<br />\nIf you want something even more industrial, you can use JB Weld. It's a simple 2-part epoxy that has amazing strength and is used for bonding metal, porcelain, etc. I used some a couple of years ago to bond a stainless towel bar onto the front of my porcelain kitchen sink and it's still there and rock solid even though it constantly gets bumped & banged.""","b""A silicone sealant should work fine as long as you make sure the porcelain around the crack is dry and clean of loose debris when you put it on, and you give it at least 24 hours to dry before it gets wet again.<br />\n<br />\nIf you want something even more industrial, you can use JB Weld. It's a simple 2-part epoxy that has amazing strength and is used for bonding metal, porcelain, etc. I used some a couple of years ago to bond a stainless towel bar onto the front of my porcelain kitchen sink and it's still there and rock solid even though it constantly gets bumped & banged.""",None,None,None,None,None,None,None,None,None
b'What are good sources to find out about new gospel artists?',b'Is there a site that focuses primarily on gospel?',b'CCM Magazine or their online website will give you information on up and coming artists in the Christian Music field.',b'CCM Magazine or their online website will give you information on up and coming artists in the Christian Music field.',b'Grassroots music is also an interesting source for independent artists.',None,None,None,None,None,None,None,None
