subject,content,bestanswer,ans0,ans1,ans2,ans3,ans4,ans5,ans6,ans7,ans8,ans9
"b""Why's watching Television so addictive?""","b""Whereas reading books isn't in general (no doubt there are some avid readers but  I am talking about the majority).""","b""I'd say that TV is more popular than books because it is multimedia and much more closely matches how we normally take in information. TV is video and audio. You can see and hear it and thus more information can be squeezed into a short amount of time while also giving a much richer experience. Next time you're watching TV, consider how much you would have to write just to completely describe a single frame.<br />\n<br />\nLast, TV is also much easier because it's a passive medium. Reading requires your brain to work harder to both read the words and then interpret them into visuals. TV is already visual and can be watched with much less focus & energy.""","b""I'd say that TV is more popular than books because it is multimedia and much more closely matches how we normally take in information. TV is video and audio. You can see and hear it and thus more information can be squeezed into a short amount of time while also giving a much richer experience. Next time you're watching TV, consider how much you would have to write just to completely describe a single frame.<br />\n<br />\nLast, TV is also much easier because it's a passive medium. Reading requires your brain to work harder to both read the words and then interpret them into visuals. TV is already visual and can be watched with much less focus & energy.""","b""Because like drugs, alcohol and tobacco, it stimulates the brain (not necessarily postively, but it does present a dizzying array of images and sounds) without much effort. Like lab rats, we humans like our brains stimulated, and we are at heart lazy. So anything that stimulates our brain without much effort is addictive. (I should've been a doctor...)""","b'The root cause lies in choice. With over 300 channels, there is an overload of content, inducing a zombie like state in TV viewers.'",None,None,None,None,None,None,None
"b""What is the origin of the name 'Soccer'?""","b""The rest of the world call this game 'football', which is self explanatory...""","b'In the early days of this game, an association was set up in England to codify the rules.  The game was sometimes referred to as ""association football,"" probably to distinguish it from other variations.  ""association"" was abbreviated to ""assoc.,"" so the game was nicknamed ""soccer.""<br />\n<br />\nSince the term ""football"" was already used in the U.S. to describe a different game, the name ""soccer"" stuck here.'","b'In the early days of this game, an association was set up in England to codify the rules.  The game was sometimes referred to as ""association football,"" probably to distinguish it from other variations.  ""association"" was abbreviated to ""assoc.,"" so the game was nicknamed ""soccer.""<br />\n<br />\nSince the term ""football"" was already used in the U.S. to describe a different game, the name ""soccer"" stuck here.'",None,None,None,None,None,None,None,None,None
"b""What's the capital city of Bolivia?""",b'Just catching up with the latest geography.\r<br><br>[expecting an email notification when this question expires]',"b'Sucre is the legal capital, though the government sits in La Paz'","b'Sucre is the legal capital, though the government sits in La Paz'","b""La Paz (pronouned La Pas). It's the highest capital in the world at 12,000 feet.""",None,None,None,None,None,None,None,None
b'Which car and house insurance company is recommended in California?',b'And with which one you had a bad experience?',"b""Costco gives some of the best rates. <br />\n<br />\nThe service is very good, too. There was this time when I couldn't start my car. Since it's a certain European car, it couldn't be jumpstarted by a friend's car. Only a tow truck had enough power to jumpstart it. I called the Costco auto assitance. Not only did they send a tow truck quickly, but they also called to follow up on whether the problem was fixed or not. Highly recommend it!""","b""Costco gives some of the best rates. <br />\n<br />\nThe service is very good, too. There was this time when I couldn't start my car. Since it's a certain European car, it couldn't be jumpstarted by a friend's car. Only a tow truck had enough power to jumpstart it. I called the Costco auto assitance. Not only did they send a tow truck quickly, but they also called to follow up on whether the problem was fixed or not. Highly recommend it!""","b'I\'ve found that a lot of it depends on the relationship you build with the agent. Geico may be cheapest on paper, but if you build a relationship, a lot of agents will give you a ""special"" discount that beats all other rates. We use Mercury Insurance, and they have given us a deal that isn\'t advertised, but beats all the competitive offers.'","b""Because rates vary by location I have found it cost-advantageous to shop around every time I moved to a different city in CA. Here in the South Bay I've had good luck with the California State Automobile Association (AAA) for both car and homeowner insurance.""","b""Mecury's Insurance is inexpensive.""",None,None,None,None,None,None
"b'What is the best movie of all time, in any language?'","b""Can't decide what to order next from Netflix...""","b'If you\'re looking for something you haven\'t seen before.<br />\ntry ""Ikiru"" by Akira Kurosawa. I was so inspired by this movie that I named our baby after this movie....'","b'If you\'re looking for something you haven\'t seen before.<br />\ntry ""Ikiru"" by Akira Kurosawa. I was so inspired by this movie that I named our baby after this movie....'",b'Star Trek II: The Wrath of Khan<br />\n<br />\nA close second is 8 1/2 by Fellini.',"b""I think that everyone will have a different answer to this, and it's hard to narrow it down to a single one, but I will give you some of my favorites. I've long thought that 8 1/2 is the best film of all time, but I love so many it's hard to choose; it's like asking a parent to choose their favorite child.<br />\n<br />\n1. 8 1/2 by Federico Fellini<br />\n2. Aguirre, the Wrath of God by Werner Herzog<br />\n3. In the Mood for Love by Wong Kar-Wei<br />\n4. Red by Kristof Kieslowski<br />\n5. Eternal Sunshine of the Spotless Mind by Charlie Kaufmann<br />\n6. Stolen Kisses by Francois Truffaut<br />\n7. Buffalo 66 by Vincent Gallo<br />\n8. Chinatown by Roman Polanski<br />\n10. Belle de Jour by Luis Bu\xc3\xb1uel<br />\n11. Clockwork Orange by Stanley Kubrick<br />\n12. Last Tango in Paris by Bernardo Bertolucci<br />\n13. Persona by Ingmar Berman<br />\n14. Donnie Darko by Richard Kelly<br />\n15. Manhattan by Woody Allen<br />\n16. Nights of Cabiria by Federico Fellini""",None,None,None,None,None,None,None
b'Best gifts to bring back from San Francisco?',"b""Can any one recommend good gifts to bring back for friends from a trip to San Francisco.  I'd like them to be inexpensive (less than $40) and unique and emblemnatic of SF.  \r<br><br>Your help is appreciated! Thanks.""","b""I would go to the SF Ferry Building and pick from the fantastic selection of shops/goodies there...in particular, some chocolate from Scharffenberger or Michael Recchuiti (both bay area natives and expert chocolatiers)--you can easily find stuff for under $40. <br />\n<br />\nIf you go on a Saturday morning, I'd go to the the Farmer's Market (which is in back of the Ferry Building) and pick up some June Taylor preserves, which are beautifully packaged, seasonal and delicious. Each jar is about $11.""","b""I would go to the SF Ferry Building and pick from the fantastic selection of shops/goodies there...in particular, some chocolate from Scharffenberger or Michael Recchuiti (both bay area natives and expert chocolatiers)--you can easily find stuff for under $40. <br />\n<br />\nIf you go on a Saturday morning, I'd go to the the Farmer's Market (which is in back of the Ferry Building) and pick up some June Taylor preserves, which are beautifully packaged, seasonal and delicious. Each jar is about $11.""","b""I'd recommend some wine or Rice-a-roni""",None,None,None,None,None,None,None,None
b'How come the usage of alternate power generators is not more prevalent in a state like Californi',b'One would expect that it would be of an interest of states to have alternate resources.',"b""California electricity is generated by several sources, including hydroelectric, wind, geothermal and nuclear (in addition to the more traditional natural gas).  The question is why these other sources aren't used more, and the answer is that historically, they've either been more expensive or have environmental risks of their own (esp. for nuclear).  As petroleum and natural gas sources start to get used up, and world demand for energy increases, the cost of electricity from natural gas will go up and the other sources will become more cost effective and more prevalent.<br />\n<br />\nIncidentally, solar power is another source used in California, but it's provided by individuals, not power companies.  If your house has solar power and you have the right equipment, you can sell your surplus electricity to the power company and your electric meter will literally run backward.""","b""California electricity is generated by several sources, including hydroelectric, wind, geothermal and nuclear (in addition to the more traditional natural gas).  The question is why these other sources aren't used more, and the answer is that historically, they've either been more expensive or have environmental risks of their own (esp. for nuclear).  As petroleum and natural gas sources start to get used up, and world demand for energy increases, the cost of electricity from natural gas will go up and the other sources will become more cost effective and more prevalent.<br />\n<br />\nIncidentally, solar power is another source used in California, but it's provided by individuals, not power companies.  If your house has solar power and you have the right equipment, you can sell your surplus electricity to the power company and your electric meter will literally run backward.""",None,None,None,None,None,None,None,None,None
b'who wins the hand if 2 players make the same high card flush?',"b""Assume a Texas Hold 'em board of Qh, 5h, 6h, 7c, Ad. Let's say player A holds Jh and 3h and player B holds 10h and 8h. Both players have a queen high flush, but does the hole card rank determine the winner or is it a split pot?""","b'When comparing two flushes, the highest card determines which is higher. If the highest cards are equal then the second highest card is compared; if those are equal too, then the third highest card, and so on. The player holding the Jh should win your hand.'","b'When comparing two flushes, the highest card determines which is higher. If the highest cards are equal then the second highest card is compared; if those are equal too, then the third highest card, and so on. The player holding the Jh should win your hand.'","b""It's also important to note that in Hold 'Em - each player plays their best five cards. Often, the best five cards do NOT include their hole cards. So, while it's true that in your example the player with the Jh would win - if the board were instead:<br />\nAh Kh Jh 9h 7h <br />\nand player A has 3h 2d, and player B has 5h 7d - it's actually a split pot because both players are playing the best five cards (the board).""",None,None,None,None,None,None,None,None
b'Is there any way to reconcile karma with free will?',b'What is the informed thinking on this point?',"b'I don\'t think they need to be reconciled. Karma is all about free will :)<br />\n<br />\n From the basic definition on Wikipedia: <br />\n<br />\n""Karma is a concept of eastern religions about the entire cycle of cause and effect. Simply explained, it is a sum of all that an individual has once done during many lives and is currently doing. The effects of those deeds actively create present and future experiences, thus making one responsible for one\'s own life.""'","b'I don\'t think they need to be reconciled. Karma is all about free will :)<br />\n<br />\n From the basic definition on Wikipedia: <br />\n<br />\n""Karma is a concept of eastern religions about the entire cycle of cause and effect. Simply explained, it is a sum of all that an individual has once done during many lives and is currently doing. The effects of those deeds actively create present and future experiences, thus making one responsible for one\'s own life.""'",None,None,None,None,None,None,None,None,None
b'Best sushi bar in the South Bay in CA',"b""I know where the best sushi is in Marin and East Bay, but don't have a good one on the Peninsula. Help! Arigoto...""","b""Kani-Kosen in Half Moon Bay has the best Sushi I've had in the Bay Area.  <br />\n<br />\nhttp://local.yahoo.com/details?id=21311548<br />\n<br />\nA bit out of the way, but worth the trip.""","b""Kani-Kosen in Half Moon Bay has the best Sushi I've had in the Bay Area.  <br />\n<br />\nhttp://local.yahoo.com/details?id=21311548<br />\n<br />\nA bit out of the way, but worth the trip.""","b'Ok. Not the best Sushi, but if you work at Yahoo! in Sunnyvale, and want to eat pretty good sushi during lunch or after work I recommend Seto Sushi, on Maude Ave. which was surprisingly good. (and prices are reasonable)'","b'Hanamaru- a great sussi located on Bernardo and El Camino on the south side. <br />\n675 S Bernardo Ave <br />\nSunnyvale, CA 94087'",b'I am partial to Naomi Sushi in Menlo Park... lots of friends share my opinion as well.  Not as fancy shmancy as fukisushi but better IMO.',None,None,None,None,None,None
b'Why do people amputate dogs tail?',b'What is the reason that some types of dog are considered to be better off with out their tail?',"b'There are a couple of reasons why this was done a few decades ago.  Dogs with curved tails are known to be chasing flies and fleas that got on their tails. Owners of the dogs found this a nuisance that all of a sudden a dog would keep chasing its tail for several hours in a week. Due to this dogs forgot their ""job"" which was to guard sheep, or pull carts, etc.<br />\n<br />\nSecondly, certain dogs go very wild if we pull their tails, even if its done playfully. They simply get mad at you, bite you or even kill you, if you are small.  Since little children always found it playful to pull the tails of the dogs and this meant a potential danger to their lives, the owners cut their tails short. <br />\n<br />\nEver thought of the word CUR-TAIL? :-)'","b'There are a couple of reasons why this was done a few decades ago.  Dogs with curved tails are known to be chasing flies and fleas that got on their tails. Owners of the dogs found this a nuisance that all of a sudden a dog would keep chasing its tail for several hours in a week. Due to this dogs forgot their ""job"" which was to guard sheep, or pull carts, etc.<br />\n<br />\nSecondly, certain dogs go very wild if we pull their tails, even if its done playfully. They simply get mad at you, bite you or even kill you, if you are small.  Since little children always found it playful to pull the tails of the dogs and this meant a potential danger to their lives, the owners cut their tails short. <br />\n<br />\nEver thought of the word CUR-TAIL? :-)'",b'it called cruelty and ignorance',None,None,None,None,None,None,None,None
b'Is Finland a part of Scandinavian countries?',"b""If not, why not?\r<br>If so, why's Finland's language so different from the rest of the scandinavian countries?\r<br><br>Just curious about how Vikings conquered this area and how people got distributed in different geographical areas.""","b'I remember asking this question when traveling through the region. I was told that ""Scandinavia"" is Norway, Denmark & Sweden, but not Finland (which as you point out has a drastically different language and is related to Hungarian).<br />\n<br />\nThat said, ""Nordics"" are people from Norway, Denmark, Sweden, Finland and Iceland as they all have Viking heritage and/or were under Viking rule long enough that their cultures are very similar. People from Greenland are also sometimes lumped into this group.'","b'I remember asking this question when traveling through the region. I was told that ""Scandinavia"" is Norway, Denmark & Sweden, but not Finland (which as you point out has a drastically different language and is related to Hungarian).<br />\n<br />\nThat said, ""Nordics"" are people from Norway, Denmark, Sweden, Finland and Iceland as they all have Viking heritage and/or were under Viking rule long enough that their cultures are very similar. People from Greenland are also sometimes lumped into this group.'","b'I believe the Scandinavian countries include <br />\nNorway, Denmark, Sweden, and Finland.'",None,None,None,None,None,None,None,None
b'How come stars are generally round?',b're there any square stars in the galaxy?',"b'Largely because of the massive amounts of gravitational force involved.  A sphere is the only sustainable shape when talking about forces of that magnitude.  Stars are incredibly dense towards their core, and over billions of years the matter will coalesce in a sphere like shape.'","b'Largely because of the massive amounts of gravitational force involved.  A sphere is the only sustainable shape when talking about forces of that magnitude.  Stars are incredibly dense towards their core, and over billions of years the matter will coalesce in a sphere like shape.'",None,None,None,None,None,None,None,None,None
b'What is the difference between hurricane and typhoon?',"b""Are they different in the way they're formed?""","b""Tropical cyclones in the Pacific are called Typhoons.  Those in the Atlantic are called Hurricanes.  But there's no difference in terms of the weather pattern.""","b""Tropical cyclones in the Pacific are called Typhoons.  Those in the Atlantic are called Hurricanes.  But there's no difference in terms of the weather pattern.""",None,None,None,None,None,None,None,None,None
b'do i need to bring a gift for a 1 year anniversary party?',"b""my friend's parents are throwing he and his wife a 1 year anniversary party. we were among the 40 or so who flew out to florida for their wedding. the invitation was informal over email and didn't mention anyhing about gifts. i'm wondering if we're expected to bring presents.""","b'According to the manners mavens, you shouldn\'t bring a gift in this cirucumstance because it embarasses other guests who didn\'t bring a gift.  However, it\'s my personal opinion is that as a guest it\'s always good idea to make a small gesture like bringing flowers or a bottle of wine. <br />\n<br />\nAccording to Miss Manners:<br />\n""Bringing presents to parties, unless they are children\'s birthday parties or bridal or baby showers, where opening them is part of the entertainment, is a terrible idea,"" <br />\n<br />\nAccording to Amy Vanderbilt:<br />\n""No presents"" means just that. Don\'t embarrass other guests by popping up with bows and ribbons. If you\'re compelled to give, drop it off or send it well before the fiesta begins.'","b'According to the manners mavens, you shouldn\'t bring a gift in this cirucumstance because it embarasses other guests who didn\'t bring a gift.  However, it\'s my personal opinion is that as a guest it\'s always good idea to make a small gesture like bringing flowers or a bottle of wine. <br />\n<br />\nAccording to Miss Manners:<br />\n""Bringing presents to parties, unless they are children\'s birthday parties or bridal or baby showers, where opening them is part of the entertainment, is a terrible idea,"" <br />\n<br />\nAccording to Amy Vanderbilt:<br />\n""No presents"" means just that. Don\'t embarrass other guests by popping up with bows and ribbons. If you\'re compelled to give, drop it off or send it well before the fiesta begins.'","b""I don't know if you're EXPECTED to bring gifts, but its always safer to bring something.  Just keep it in your bag, so if you get there and no one else have gifts, don't have to embarrass everyone else by giving them something.""",None,None,None,None,None,None,None,None
b'Restaurant recommendations in SF Chinatown',"b'Any good restaurant recommendations in SF Chinatown? Conventional wisdom is that all the restaurants there are either for tourists or the ""quantity over quality"" crowd, but surely there are also some great places to eat??'","b'Top floor of Empress of China is not bad, if a little pricy. The view is amazing. R&G Lounge has good seafood soup. <br />\n<br />\nBut my main rec would be Four Seas on Grant (see website). They have good seafood (all Cantonese places specialize in Seafood) and soups.'","b'Top floor of Empress of China is not bad, if a little pricy. The view is amazing. R&G Lounge has good seafood soup. <br />\n<br />\nBut my main rec would be Four Seas on Grant (see website). They have good seafood (all Cantonese places specialize in Seafood) and soups.'",None,None,None,None,None,None,None,None,None
"b'If a baby is 1.7 month old and has no teeth, should one be worry?'",b'When does it become abnormal for a baby not to have any teeth?',"b""If your baby has not gotten any teeth by one year (12 months), consult your pediatrician. The entire set may not be in until he's about 3 years old or so, but he should have at least a couple at this point.""","b""If your baby has not gotten any teeth by one year (12 months), consult your pediatrician. The entire set may not be in until he's about 3 years old or so, but he should have at least a couple at this point.""","b""Babies don't usually have any teeth until 6+ months. You should not worry at all.  The first ones to come out will be the center bottom or top.  You will know because they will drool a lot, and cry a lot (it hurts when their teeth come out) its called teething.  Sometimes its even accompanied by a slight fever.""",None,None,None,None,None,None,None,None
"b""What's the best way to keep one language while learning a similar one?""","b'When I studied Spanish it essentially washed the French from my brain.  Now I want to study Italian, but it is so close to Spanish that I worry that it will obliterate whatever Spanish is left in my head.  What are strategies for saving one language when learning another one?'","b'The best way (only way?) not to forget languages is to speak them with native people for a few years.  This is possible only if you live in a cosmopolitan environment where you naturally bump into people who can speak only one of the languages that you are trying to develop and not the other ones.<br />\n<br />\nThis is the reason why we find street vendors in countries who travel between the borders of the regions where diverse languages are spoken, to be reasonably fluent in many languages at the same time.  This is because the guy wants to make a sale and he can do it better if he can make a conversation in your native language.  He may also end up meeting folks that can speak only their tongue and nothing else and hence the vendor ends up picking up that language. For example if you happen to be travelling between Germany, Switzerland & France borders then you may end up speaking German and French and still retain both. <br />\n<br />\nBottomline is you would have to speak the language with people who can understand only that language and not any other language that you know pretty well.  Then you are forced to speak it and you will surely retain it for a very long time.'","b'The best way (only way?) not to forget languages is to speak them with native people for a few years.  This is possible only if you live in a cosmopolitan environment where you naturally bump into people who can speak only one of the languages that you are trying to develop and not the other ones.<br />\n<br />\nThis is the reason why we find street vendors in countries who travel between the borders of the regions where diverse languages are spoken, to be reasonably fluent in many languages at the same time.  This is because the guy wants to make a sale and he can do it better if he can make a conversation in your native language.  He may also end up meeting folks that can speak only their tongue and nothing else and hence the vendor ends up picking up that language. For example if you happen to be travelling between Germany, Switzerland & France borders then you may end up speaking German and French and still retain both. <br />\n<br />\nBottomline is you would have to speak the language with people who can understand only that language and not any other language that you know pretty well.  Then you are forced to speak it and you will surely retain it for a very long time.'","b""I've had this problem. Strangely, when I learned Mandarin Chinese, my German went away (and they are not similar at all!). I read somewhere that when you learn a non-native language when you're an adult, there's only room for one language besides the ones you learned when you were a kid.  And this is also why you almost never forget your native tongue even if you don't use it for a long time vs. you lose your non-native tongue if you don't use it.  <br />\n<br />\nBottom line? You won't forget your Spanish if you keep to using Spanish regularly, even while you're learning Italian.  You should find a Spanish friend, and use it often.""",None,None,None,None,None,None,None,None
b'Is paid inclusion a good way to monetize a search engine?',"b""I'm thinking about starting my own search engine and wondering how to make money off of it. Would a paid inclusion program be a good idea?""","b""No I don't think so. It seems to be a better bet to come up with a system to bid on keywords, like Google & Yahoo Search Marketing (formerly Overture).  P4P is a better system than PI.""","b""No I don't think so. It seems to be a better bet to come up with a system to bid on keywords, like Google & Yahoo Search Marketing (formerly Overture).  P4P is a better system than PI.""",None,None,None,None,None,None,None,None,None
b'What is the best relational database?',b'http://www.oracle.com/\n\nhttp://www.mysql.com\n\nwww.mysql.org',"b'Define ""best"". Oracle is like a BMW. Expensive but has all the fixings. But not everyone needs a BMW. MySQL is like a VW Beetle (the old model). Its cheap, and gets you where you need to go. But you have to tweak it to suit your needs.'","b'Define ""best"". Oracle is like a BMW. Expensive but has all the fixings. But not everyone needs a BMW. MySQL is like a VW Beetle (the old model). Its cheap, and gets you where you need to go. But you have to tweak it to suit your needs.'",None,None,None,None,None,None,None,None,None
b'Why does Zebras have stripes?',b'What is the purpose or those stripes? Who do they serve the Zebras in the wild life?',b'this provides camouflage - predator vision is such that it is usually difficult for them to see complex patterns',b'this provides camouflage - predator vision is such that it is usually difficult for them to see complex patterns',"b""Vertical stripes are slimming, reducing the zebra's attractiveness to predators...<br />\n<br />\n(can it be a coincidence that zebras didn't evolve horizontal stripes??)""",None,None,None,None,None,None,None,None
b'How to get rid of water stain in a stall shower?',"b'I have a stall shower with glass doors. I tried cleaning them with Windex. The stains seem to be removed when the doors are wet. But once they are dry, the stains reappear. How to get rid of them permanently?'",b'Sounds like hard water deposits. I find that Lime Away takes them right off.',b'Sounds like hard water deposits. I find that Lime Away takes them right off.',None,None,None,None,None,None,None,None,None
b'Is it difficult for people to stop displaying favoritism?',"b'especially at work situations...\r<br>If so, why does display of favoritism come so easily to some folks?  Are they so enamored by selected few persons that they are blind to others?\r<br><br>Just curious...'","b'People naturally like some people and dislike others. Work situation is not any different. A lot of managers are not professional or thoughtful enough to at least try to appear objective and fair, so favoritism will always be displayed.'","b'People naturally like some people and dislike others. Work situation is not any different. A lot of managers are not professional or thoughtful enough to at least try to appear objective and fair, so favoritism will always be displayed.'","b'I think that it is as difficult for people to stop displaying favoritism as it is for them to stop being the way that they are. The way I see it, liking someone or something is the way that people define who they are. Developing tastes, discriminating between this thing or that thing is what defines us -- the person who is capable of unconditional and equal love of all of humanity is a fiction or a god. <br />\n<br />\nSome people are better at hiding favoritism than others, either through consciousness of the problem, or an innate sense of justice towards other people. Parents especially are called upon to be adept at this, but many many children grow up feeling that they were not the favorite child.'",None,None,None,None,None,None,None,None
b'Who will the Super Bowl?',"b""I think it'll be the Chicago Bears.""",b'I bet on the Patriots.',"b'ya mean - Who will WIN the Super Bowl?<br />\n<br />\nObviously its the Tokyo Giants. (wait, wrong sport)<br />\n<br />\nThe Eagles will win the Super Bowl.'",b'I bet on the Patriots.',b'J-E-T-S JETS JETS JETS',None,None,None,None,None,None,None
b'Why do we yawn?',b'How is it contagious...',"b'Found an interesting article on this...<br />\n<br />\nYawning is a unique breathing act, which is different from the usual practice of breathing. During yawning, the mouth involuntarily opens due to the spasm of mastoid muscles. These spasms, without your permission, force you to take a deep breath. It also involves many other muscles of your body, such as abdominal muscles. Lung ventilation increases, sending oxygen to the brain. Extra blood is pushed from the liver and spleen to the brain stem. During yawning, intellectual activity stops and for a moment we cannot think. We usually start yawning when we are very tired, before sleep, when we are too excited, or extremely serious. <br />\n<br />\nThere is a yawn center in our brain that makes this act a reflex like coughing or swallowing. The yawning reflex is very contagious, forcing people to imitate it. This phenomenon even has a fancy name: alolomimea. Yawning can be easily conditioned to become a bad habit. If you fight the urge to yawn, it will return in a similar situation. Yawning is what your body develops to get a \xe2\x80\x9ctime out\xe2\x80\x9d to recharge for a brief moment. It is a signal that we are running out of gas, it is a signal to rest. <br />\n<br />\nThis is a great compensatory mechanism, without which we would drop into sleep suddenly without warning, as in patients with narcolepsy.'","b'Found an interesting article on this...<br />\n<br />\nYawning is a unique breathing act, which is different from the usual practice of breathing. During yawning, the mouth involuntarily opens due to the spasm of mastoid muscles. These spasms, without your permission, force you to take a deep breath. It also involves many other muscles of your body, such as abdominal muscles. Lung ventilation increases, sending oxygen to the brain. Extra blood is pushed from the liver and spleen to the brain stem. During yawning, intellectual activity stops and for a moment we cannot think. We usually start yawning when we are very tired, before sleep, when we are too excited, or extremely serious. <br />\n<br />\nThere is a yawn center in our brain that makes this act a reflex like coughing or swallowing. The yawning reflex is very contagious, forcing people to imitate it. This phenomenon even has a fancy name: alolomimea. Yawning can be easily conditioned to become a bad habit. If you fight the urge to yawn, it will return in a similar situation. Yawning is what your body develops to get a \xe2\x80\x9ctime out\xe2\x80\x9d to recharge for a brief moment. It is a signal that we are running out of gas, it is a signal to rest. <br />\n<br />\nThis is a great compensatory mechanism, without which we would drop into sleep suddenly without warning, as in patients with narcolepsy.'","b'Many people assume that we yawn because our bodies are trying to get rid of extra carbon dioxide (CO2) and to take in more oxygen (O2). This may make some sense. According to this theory, when people are bored or tired, they breathe more slowly. As breathing slows down, less oxygen makes it to the lungs. As carbon dioxide builds up in the blood, a message to the brain results in signals back to the lungs saying, ""Take a deep breath,"" and a yawn is produced.<br />\nThe only problem with the excess CO2 theory is that research shows that it may not be true. In 1987, Dr. Robert Provine and his coworkers set up an experiment to test the theory that high CO2/low O2 blood content causes yawning. Air is normally made up of 20.95% O2, 79.02% N2 (nitrogen), 0.03% CO2 (and a few other gases in low concentrations). The researchers gave college students the following gases to breathe for 30 minutes:<br />\n<br />\n<br />\nGas #1<br />\n100% O2<br />\n Gas #2<br />\n3% CO2, 21% O2<br />\n Gas #3<br />\n5% CO2, 21% O2<br />\n Gas #4<br />\nNormal Air<br />\n <br />\n<br />\nBreathing 100% O2 (Gas #1) or either CO2 gas (Gas #2 and #3) did cause the students to breathe at a faster rate. However, neither CO2 gas nor 100% O2 caused the students to yawn more. These gases also did not change the duration of yawns when they occurred.<br />\n<br />\nThe researchers also looked for a relationship between breathing and yawning by having people exercise. Exercise, obviously, causes people to breathe faster. However, the number of yawns during exercise was not different from the number of yawns before or after exercise. Therefore, it appears that yawning is not due to CO2/O2 levels in the blood and that yawning and breathing are controlled by different mechanisms.'",None,None,None,None,None,None,None,None
"b""What's the biggest difference between high school & college in terms of academics?""",b'Is it just harder or is it more work?',"b""The biggest difference is that your schedule is much more unique than it was in high school, you won't have a significant number of people with most of the same classes as you.  It is a little harder but the challenges are more about being on your own and making decisions than academics.""","b""The biggest difference is that your schedule is much more unique than it was in high school, you won't have a significant number of people with most of the same classes as you.  It is a little harder but the challenges are more about being on your own and making decisions than academics.""",None,None,None,None,None,None,None,None,None
"b'Can you say ""peoples""?'",b'Can someone explain to me how come it is right to use plural for the word \xe2\x80\x9cPeople\xe2\x80\x9d',"b'There are times when ""peoples"" is correct and times when it is incorrect.<br />\n<br />\nIf you are talking about individuals, then the singular is ""person"" and the plural is ""people.""  But if you are talking about whole societies, then the singular is ""people"" and the plural is ""peoples.""  Some examples of this second sense of people are ""We are a peaceful people"" (note the singular ""a"") and ""The native peoples of North America include the Inuit, Cherokee, and Hopi.""'","b'There are times when ""peoples"" is correct and times when it is incorrect.<br />\n<br />\nIf you are talking about individuals, then the singular is ""person"" and the plural is ""people.""  But if you are talking about whole societies, then the singular is ""people"" and the plural is ""peoples.""  Some examples of this second sense of people are ""We are a peaceful people"" (note the singular ""a"") and ""The native peoples of North America include the Inuit, Cherokee, and Hopi.""'","b""Usually, you shouldn't say peoples.""","b'no, the plural of people is people'",None,None,None,None,None,None,None
b'How come cars in Japan are right-drive?',"b'...and of course the roads, as well...'","b'Japan follows the British system of ""cars drive on the left side of the road"".  <br />\n<br />\n""in the 1850\'s Gunboat diplomacy forced the Japanese to open their ports to the British and Sir Rutherford Alcock, who was Queen Victoria\'s man in the Japanese court, persuaded them to adopt the keep left rule."" <br />\n<br />\nSo just as in the US where you drive on the right, and the driver\'s seat is on the left for maximum visibility when making a left turn, most cars in Japan have the wheel on the right.  Funny thing is, many foreign made cars in Japan (US, German, etc) keep the wheel on the left for a ""status symbol"" of hey, i\'m so cool. I drive a foreign car.  But of course, now prestige is accorded to Lexus & Acura cars as well....'","b'Japan follows the British system of ""cars drive on the left side of the road"".  <br />\n<br />\n""in the 1850\'s Gunboat diplomacy forced the Japanese to open their ports to the British and Sir Rutherford Alcock, who was Queen Victoria\'s man in the Japanese court, persuaded them to adopt the keep left rule."" <br />\n<br />\nSo just as in the US where you drive on the right, and the driver\'s seat is on the left for maximum visibility when making a left turn, most cars in Japan have the wheel on the right.  Funny thing is, many foreign made cars in Japan (US, German, etc) keep the wheel on the left for a ""status symbol"" of hey, i\'m so cool. I drive a foreign car.  But of course, now prestige is accorded to Lexus & Acura cars as well....'",None,None,None,None,None,None,None,None,None
b'Can someone recommend good landscaping sites?',"b""I'd like to landscape my garden and I need design ideas and tips.""",b'Here are several.  Good Luck.',b'Here are several.  Good Luck.',None,None,None,None,None,None,None,None,None
b'How often do I need to turn on the sprinkler during winter?',b'How often?  everyday? every other day?  For how long? How much do I need to water?',"b'To determine how often the lawn needs water, dig around grass roots. Irrigate when the top 2 inches of soil become dry and crumbly. Water slowly and deeply, wetting the grass down to the deep root level. Frequent light sprinklings cause shallow root growth and will not result in healthy lawns. Overwatering the lawn can reduce oxygen levels to the roots, and will stifle good growth. Further, overwatering encourages some lawn weeds such as buttercups, annual blue grass, and speedwell.'","b'To determine how often the lawn needs water, dig around grass roots. Irrigate when the top 2 inches of soil become dry and crumbly. Water slowly and deeply, wetting the grass down to the deep root level. Frequent light sprinklings cause shallow root growth and will not result in healthy lawns. Overwatering the lawn can reduce oxygen levels to the roots, and will stifle good growth. Further, overwatering encourages some lawn weeds such as buttercups, annual blue grass, and speedwell.'","b""Depends on where you live and the type of grass you have.  I live in Southern California's beautiful San Fernando Valley and I don't water my grass at all in the winter.  It's green all winter long.""",None,None,None,None,None,None,None,None
